p (mbar),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),T (degC)
974.96,94.3,4.97,4.69,0.28,3,4.81,1253.87,2.98,7.33,21.83,-2.78
976.29,92.6,4.68,4.34,0.35,2.77,4.44,1259.52,3.63,6.57,16.42,-3.59
977.39,94.8,4.51,4.28,0.23,2.73,4.38,1263.25,3.53,5.61,22.82,-4.08
978.49,94,4.47,4.2,0.27,2.68,4.29,1265.3,2.69,5.65,28.6,-4.2
979.44,93.2,4.39,4.09,0.3,2.6,4.18,1267.67,2.06,5.09,22.76,-4.43
980.6,94.2,4.34,4.09,0.25,2.6,4.17,1269.93,0.78,2.56,38.61,-4.59
981.97,91.5,4.19,3.83,0.36,2.43,3.9,1274.08,1.23,3.28,282.2,-5.06
983.06,91.9,4.01,3.68,0.32,2.33,3.75,1278.29,1.01,3.32,105,-5.64
984.05,91.2,3.84,3.5,0.34,2.22,3.56,1282.3,1.54,3.53,345.7,-6.19
985.1,90.5,3.85,3.48,0.37,2.2,3.54,1283.58,1.2,2.6,256.9,-6.16
986.31,91.7,3.85,3.53,0.32,2.23,3.58,1285.11,0.79,1.4,234.8,-6.16
987.88,92,3.91,3.6,0.31,2.27,3.64,1286.21,0.98,3.45,60.6,-5.97
989.48,90.1,3.85,3.47,0.38,2.18,3.5,1289.33,2.65,3.57,23.38,-6.17
990.47,83.6,3.83,3.2,0.63,2.01,3.23,1291.04,1.66,3.77,20.8,-6.23
991.2,83.1,3.74,3.11,0.63,1.95,3.14,1293.48,1.02,2.36,196.8,-6.53
992.54,83.1,3.48,2.89,0.59,1.82,2.92,1299.89,1.21,3.73,253.9,-7.46
993.68,84.7,3.11,2.63,0.48,1.65,2.65,1308.71,1.86,3.93,254.5,-8.92
994.64,84.7,2.88,2.44,0.44,1.53,2.45,1314.84,2.48,3.2,256.7,-9.88
995.69,85.4,2.79,2.38,0.41,1.49,2.39,1318.22,1.92,3.65,266,-10.27
996.15,84.7,2.61,2.21,0.4,1.38,2.22,1322.98,1.37,2.08,245.6,-11.08
996.41,83.7,2.52,2.11,0.41,1.32,2.11,1325.81,0.45,0.9,193.3,-11.56
996.66,86,2.33,2,0.33,1.25,2.01,1331.14,0.41,0.88,151.6,-12.53
996.95,87.7,2.14,1.87,0.26,1.17,1.88,1336.87,0.75,1.12,205.8,-13.56
997.35,88.5,2.05,1.82,0.24,1.13,1.82,1339.92,1.04,1.6,221.4,-14.04
997.4,87.1,2.17,1.89,0.28,1.18,1.89,1336.54,1.01,2.28,155.7,-13.38
997.46,90.4,2.2,1.99,0.21,1.24,1.99,1335.8,0.53,1.48,105.9,-13.23
997.39,88.7,2.54,2.25,0.29,1.41,2.26,1326.49,1.19,1.8,202.8,-11.45
997.35,86.4,3,2.59,0.41,1.62,2.6,1315.81,0.76,1.32,190.3,-9.37
996.62,85.8,3.36,2.88,0.48,1.8,2.89,1307.51,1.31,1.84,227.1,-7.92
996.59,88,3.68,3.24,0.44,2.02,3.25,1301.59,0.57,1.08,184.5,-6.76
996.74,89.3,3.78,3.38,0.4,2.11,3.39,1299.96,0.55,0.88,164.2,-6.4
996.64,90.9,3.73,3.39,0.34,2.12,3.41,1300.6,1.18,1.82,178.1,-6.56
996.8,90,3.64,3.27,0.36,2.04,3.28,1302.57,1.56,2.6,148.7,-6.91
996.13,89.5,3.57,3.19,0.37,2,3.2,1302.92,0.84,1.76,144.6,-7.15
995.64,88.6,3.57,3.16,0.41,1.98,3.17,1302.31,2.25,3.73,175.6,-7.15
994.84,88,3.48,3.07,0.42,1.92,3.08,1302.78,2.57,4.57,165.3,-7.45
994.53,93.7,3.44,3.22,0.22,2.02,3.24,1303.12,1.16,2.12,186,-7.62
994.09,94,3.53,3.31,0.21,2.08,3.33,1300.93,0.83,1.92,158.5,-7.3
994.53,93,3.77,3.51,0.26,2.2,3.53,1297.13,1.06,2.2,185,-6.42
994.97,92.5,4.01,3.71,0.3,2.32,3.73,1293.8,0.96,1.48,155.1,-5.64
995.43,90.3,4.2,3.79,0.41,2.37,3.81,1291.43,0.44,0.92,191.9,-5.03
995.42,87.8,4.46,3.92,0.54,2.45,3.94,1287.48,1.02,1.68,162.7,-4.22
994.81,86.1,4.92,4.23,0.68,2.65,4.26,1280.39,1.6,2.34,152.1,-2.93
994.63,83.9,5.1,4.28,0.82,2.68,4.31,1277.78,2.22,4.33,195.3,-2.44
994.83,87.3,5.09,4.45,0.65,2.79,4.47,1278.08,1.43,1.92,181.6,-2.46
994.6,88.3,4.88,4.31,0.57,2.7,4.33,1280.54,1.96,3.93,154.7,-3.03
994.77,88.5,4.91,4.34,0.56,2.72,4.37,1280.42,1.77,3.61,164.1,-2.96
994.24,87.5,5.02,4.39,0.63,2.75,4.42,1278.31,3.3,6.05,182.6,-2.67
993.29,84.4,5.22,4.41,0.81,2.77,4.44,1274.52,2.55,5.03,186.8,-2.12
992.28,90.4,4.88,4.41,0.47,2.77,4.44,1277.57,2.3,4.69,182.6,-3.04
993.08,85.5,5.17,4.42,0.75,2.77,4.45,1274.89,1.03,1.36,35.09,-2.26
993.32,87.6,4.98,4.36,0.62,2.74,4.39,1277.59,1.2,2.36,354.6,-2.76
993.45,87.1,4.87,4.24,0.63,2.66,4.27,1279.24,1.01,1.76,244.5,-3.06
993.95,90,4.72,4.25,0.47,2.66,4.28,1281.82,0.8,1.28,359.8,-3.47
994.85,89.8,4.44,3.99,0.45,2.5,4.01,1287.01,3.1,4.61,22.5,-4.29
995.65,85.2,4.3,3.67,0.64,2.29,3.68,1290.18,2.33,3.41,67.14,-4.7
995.83,74.4,4.39,3.27,1.12,2.04,3.28,1289.38,2.33,3,34.96,-4.44
995.88,84.7,4.01,3.4,0.61,2.12,3.41,1295.09,4.12,5.77,17.29,-5.63
996.67,89.4,3.57,3.19,0.38,2,3.2,1303.54,3.46,4.57,33.14,-7.13
997.47,91.7,3.22,2.96,0.27,1.85,2.96,1311.15,2.86,4.05,54.87,-8.44
998.46,91.6,2.97,2.72,0.25,1.69,2.72,1317.86,2.2,3.57,130.5,-9.5
998.8,92.3,2.8,2.59,0.22,1.61,2.59,1321.98,2.31,3.53,163.9,-10.22
998.95,92.3,2.78,2.57,0.21,1.6,2.57,1322.59,1.52,2.52,161.9,-10.3
998.83,92.8,2.77,2.57,0.2,1.6,2.57,1322.84,2.14,2.6,142,-10.38
998.45,93.7,2.61,2.45,0.16,1.53,2.45,1326.02,1.44,2.06,177.2,-11.1
999.17,92,2.39,2.2,0.19,1.37,2.2,1332.76,0.31,0.72,353.3,-12.21
998.94,91.6,2.02,1.85,0.17,1.15,1.85,1343.17,0.65,1.04,123.4,-14.26
998.78,90.2,1.88,1.7,0.18,1.06,1.7,1347.3,0.47,0.96,187,-15.08
998.94,89.9,1.91,1.71,0.19,1.07,1.72,1346.79,0.64,1.12,180,-14.94
999.45,88.2,1.84,1.62,0.22,1.01,1.62,1349.86,1.03,1.68,153.9,-15.39
999.18,87.5,2.1,1.84,0.26,1.15,1.84,1340.91,1.16,1.72,50.53,-13.76
998.72,80.9,2.58,2.09,0.49,1.3,2.09,1327.37,0.61,1.16,32.9,-11.26
998.34,76.5,2.78,2.13,0.65,1.33,2.13,1322.1,0.9,1.52,71.4,-10.32
998.56,85.3,2.33,1.99,0.34,1.24,1.99,1333.58,1.32,1.6,45.45,-12.51
999.18,88.5,1.99,1.76,0.23,1.1,1.76,1344.48,0.73,1.46,7.41,-14.44
999.4,86.9,2,1.74,0.26,1.08,1.74,1344.47,0.74,1.16,185.8,-14.38
999.08,93,2.12,1.97,0.15,1.23,1.98,1340.14,0.29,0.98,138.5,-13.65
999.58,90.9,2.2,2,0.2,1.25,2,1338.48,0.92,1.28,150.2,-13.2
999.44,90.9,2.25,2.05,0.2,1.28,2.05,1336.83,1.68,3.2,155.2,-12.92
999.31,91.2,2.31,2.11,0.2,1.31,2.11,1334.98,2.06,2.84,149.3,-12.6
998.76,91.2,2.32,2.12,0.2,1.32,2.12,1333.98,2.23,3.24,150.3,-12.55
998.67,91.5,2.41,2.21,0.2,1.37,2.21,1331.47,1.57,2.6,171.9,-12.09
998.9,91.8,2.51,2.3,0.21,1.43,2.3,1329.28,1.44,2.06,180,-11.61
998.57,92,2.57,2.36,0.21,1.47,2.37,1327.29,1.58,2.68,161.7,-11.31
999.44,92.1,2.78,2.56,0.22,1.6,2.57,1323.24,1.15,2.12,170.3,-10.3
998,92.6,2.96,2.74,0.22,1.71,2.75,1317.29,2.47,3.24,150.1,-9.51
997.16,93.6,3.22,3.02,0.21,1.88,3.02,1310.77,1.16,1.68,181.3,-8.45
996.84,94.6,3.37,3.19,0.18,1.99,3.2,1307.45,1.22,1.76,189.3,-7.88
997.35,95.1,3.47,3.3,0.17,2.06,3.3,1306.3,1.32,2.12,138.4,-7.52
997.15,95.6,3.63,3.47,0.16,2.17,3.48,1302.95,1.18,2.64,180,-6.91
996.87,93.6,2.84,2.66,0.18,1.66,2.67,1318.49,1.41,2.12,178.3,-10.04
996.95,92.7,2.68,2.48,0.2,1.55,2.49,1322.41,1.27,1.88,167.3,-10.78
996.65,92.8,2.71,2.51,0.2,1.57,2.52,1321.29,1.68,2.64,172.4,-10.64
996.16,93.7,2.92,2.74,0.18,1.71,2.75,1315.71,0.92,1.96,185.7,-9.68
995.8,94.4,3.15,2.97,0.18,1.86,2.99,1310.44,0.92,2,191.8,-8.74
995.56,95,3.37,3.2,0.17,2,3.22,1305.77,1.18,1.54,196.9,-7.88
995.39,95.8,3.67,3.51,0.15,2.2,3.53,1300.08,0.93,2.12,175.6,-6.8
995.76,96.6,3.9,3.77,0.13,2.36,3.79,1296.45,0.95,1.6,218.3,-5.98
995.76,97,4.39,4.26,0.13,2.67,4.28,1288.74,1.25,2.02,193.4,-4.43
995.88,97.2,5.08,4.93,0.14,3.09,4.96,1279.41,0.41,0.8,184.5,-2.51
995.4,98.3,6.15,6.04,0.1,3.78,6.07,1266.12,1.96,4.65,286.2,0.09
995.73,90.1,6.08,5.48,0.6,3.43,5.5,1267.48,1.29,2.92,274.2,-0.06
996.13,91.3,5.81,5.31,0.51,3.32,5.33,1270.97,2.35,3.89,249.1,-0.68
995.9,90.4,5.82,5.26,0.56,3.29,5.29,1270.57,0.93,2.08,16.24,-0.65
995.69,91.6,5.51,5.05,0.46,3.16,5.07,1273.93,0.61,1.64,170.6,-1.41
995.48,90.9,5.5,5,0.5,3.13,5.02,1273.83,0.79,1.82,206.5,-1.44
994.66,91.7,5.04,4.62,0.42,2.9,4.65,1278.42,1.15,1.8,208.4,-2.6
993.79,90.6,4.54,4.11,0.43,2.58,4.14,1284.2,0.88,1.54,221.5,-4
992.96,89.8,4.67,4.19,0.48,2.63,4.22,1281.29,1.1,2.48,131.3,-3.62
992.07,84.8,5.41,4.58,0.82,2.88,4.62,1270.7,2.04,4.49,226,-1.66
991.32,84.7,5.5,4.65,0.84,2.93,4.7,1268.67,1.73,2.8,217.1,-1.44
990.24,85.7,5.61,4.81,0.8,3.03,4.86,1265.88,1.29,3.18,145.8,-1.15
989.89,85.8,6.32,5.42,0.9,3.41,5.48,1257.66,1.71,3.89,196.5,0.46
989.22,84.9,6.84,5.8,1.03,3.66,5.87,1251.62,2.72,4.65,226.8,1.56
988.55,83.4,7.13,5.95,1.18,3.75,6.02,1248.02,1,2.12,204.5,2.15
988.27,87.4,6.87,6.01,0.87,3.79,6.08,1250,1.41,2.52,226,1.63
988.83,91.2,6.65,6.07,0.59,3.82,6.13,1252.74,2.68,5.01,257.4,1.18
989.65,93.4,6.37,5.95,0.42,3.75,6.01,1256.61,2.71,4.89,255.2,0.57
989.56,91.4,6.24,5.7,0.54,3.59,5.76,1257.93,2.74,4.73,256.5,0.28
990.07,89.9,6.18,5.55,0.62,3.5,5.61,1259.24,2.65,5.13,251.8,0.16
989.92,84.6,6.22,5.26,0.96,3.31,5.31,1258.8,2.38,3.99,254.2,0.24
990.11,84.1,6.16,5.18,0.98,3.26,5.24,1259.62,1.73,3.53,272.1,0.12
990.06,85.7,5.73,4.91,0.82,3.09,4.96,1264.29,1.77,2.74,257.2,-0.87
990.13,83.9,5.8,4.86,0.93,3.06,4.91,1263.66,2.34,4.65,256.1,-0.71
989.9,81.9,5.91,4.84,1.07,3.04,4.89,1262.22,3.08,4.57,252.5,-0.46
990.2,83.4,5.93,4.94,0.98,3.11,4.99,1262.33,3.02,5.41,257.3,-0.41
990.99,82.5,5.98,4.93,1.05,3.1,4.98,1262.79,2.55,4.69,259.1,-0.29
991.68,82.2,6.12,5.03,1.09,3.16,5.07,1262.14,1.67,4.01,265.7,0.03
991.79,77.6,6.27,4.87,1.4,3.06,4.91,1260.82,2.28,4.41,265.2,0.36
991.67,73.1,6.28,4.59,1.69,2.88,4.63,1260.75,2.02,3.97,261.1,0.37
992.14,75.6,6.16,4.65,1.5,2.92,4.69,1262.54,2.42,3.99,261.3,0.11
992.68,84.3,5.87,4.95,0.92,3.11,4.98,1266.11,2.54,4.25,263.8,-0.55
992.69,80.1,5.83,4.67,1.16,2.93,4.71,1266.64,3.02,5.37,262.9,-0.63
992.86,81.1,5.78,4.69,1.09,2.94,4.72,1267.47,2.7,4.97,260.3,-0.76
993.18,80.8,5.81,4.7,1.12,2.95,4.73,1267.48,2.91,5.29,255.1,-0.68
993.4,82.1,5.82,4.78,1.04,3,4.81,1267.59,2.28,3.71,259.2,-0.65
993.45,82.1,5.85,4.81,1.05,3.01,4.84,1267.32,2.73,4.21,259.9,-0.58
993.67,84.1,5.79,4.87,0.92,3.05,4.9,1268.26,2.48,4.33,257.6,-0.73
993.77,85.2,5.66,4.82,0.84,3.02,4.85,1269.85,1.35,2.36,261,-1.04
993.79,94.2,5.27,4.97,0.31,3.12,5,1274.29,2.03,2.64,238.7,-1.99
994.04,85.6,5.55,4.75,0.8,2.98,4.78,1271.43,3.2,4.53,254.7,-1.3
994.41,82.5,5.72,4.72,1,2.96,4.75,1270.06,1.63,2.64,245.8,-0.9
994.78,78.4,6.02,4.72,1.3,2.96,4.74,1267.29,1.65,4.69,291.4,-0.2
994.31,75.8,6.11,4.63,1.48,2.9,4.66,1265.75,1.91,3.32,261.7,0.01
994.42,72.4,6.13,4.44,1.69,2.78,4.46,1265.82,1.92,3.8,266.4,0.05
994.63,80.6,5.31,4.28,1.03,2.68,4.3,1275.33,2.19,3.04,249.1,-1.91
994.69,85,4.93,4.19,0.74,2.63,4.21,1280.07,2.08,2.6,247.5,-2.9
994.65,87.6,4.64,4.07,0.58,2.55,4.09,1283.93,0.37,1.12,158.9,-3.7
994.48,91.2,4.24,3.87,0.37,2.42,3.89,1289.46,1.83,2.92,137.9,-4.89
994.18,89.7,4.42,3.97,0.46,2.49,3.99,1286.44,0.92,1.28,186.5,-4.35
994.04,90.1,4.3,3.87,0.43,2.43,3.9,1288.1,0.7,0.96,163.8,-4.72
993.85,92.3,4.02,3.71,0.31,2.32,3.73,1292.19,1.4,2.68,124.8,-5.61
993.18,94,3.83,3.6,0.23,2.26,3.63,1294.35,1.16,1.82,202.6,-6.22
992.69,94.7,3.63,3.43,0.19,2.15,3.46,1297.26,0.41,1.12,54.15,-6.94
992.6,95.5,3.11,2.97,0.14,1.86,2.99,1307.02,1.27,1.88,181,-8.9
992.94,94.3,3.31,3.12,0.19,1.96,3.14,1303.49,1.42,2.88,161.2,-8.11
992.93,88,4.08,3.59,0.49,2.25,3.61,1290.14,0.59,1.48,120.8,-5.42
992.24,80.3,4.67,3.75,0.92,2.35,3.78,1280.6,1.3,2.5,200.2,-3.63
991.72,75.8,5.23,3.96,1.27,2.49,4,1272.64,0.81,1.48,187.1,-2.11
991.32,78.5,4.79,3.76,1.03,2.36,3.79,1277.77,1.54,2.2,204.6,-3.28
991.44,82.2,4.39,3.61,0.78,2.27,3.64,1283.47,1.8,2.34,196,-4.43
991.22,87.9,3.85,3.39,0.47,2.13,3.42,1291.56,0.87,1.36,201.8,-6.15
991.07,91.3,3.44,3.14,0.3,1.97,3.17,1298.67,1.14,1.96,183,-7.63
990.81,92.9,3.11,2.89,0.22,1.81,2.91,1304.75,0.25,0.64,136.6,-8.91
990.73,94,2.93,2.76,0.18,1.73,2.78,1308.32,0.63,1.4,197.5,-9.64
990.18,92.1,2.97,2.73,0.23,1.72,2.76,1306.86,0.39,1.04,278.7,-9.49
989.49,90.5,3.19,2.89,0.3,1.82,2.92,1301.28,0.35,0.68,221.4,-8.56
988.79,87.5,3.49,3.05,0.44,1.92,3.09,1294.8,0.82,1.24,176,-7.44
988.94,86.9,3.25,2.82,0.43,1.78,2.85,1299.56,1.52,2.28,231.1,-8.35
989.19,89,2.92,2.6,0.32,1.64,2.63,1306.66,0.55,1.6,237.7,-9.7
988.75,81.3,3.16,2.57,0.59,1.62,2.6,1301.16,0.4,1.8,116.8,-8.7
988.15,79.4,3.54,2.81,0.73,1.77,2.84,1293.2,1.3,2.16,229,-7.26
986.83,71.4,4.36,3.11,1.25,1.96,3.15,1278.24,5.18,7.21,191.3,-4.54
986.47,76.6,4.09,3.13,0.96,1.98,3.18,1281.72,4.79,6.37,190,-5.37
985.89,79.6,3.84,3.05,0.78,1.93,3.1,1285.01,3.58,5.25,155.9,-6.2
985.11,79,3.82,3.02,0.8,1.91,3.07,1284.23,3.69,5.37,192.1,-6.25
983.95,82.7,3.55,2.93,0.61,1.86,2.98,1287.45,3.28,4.69,188,-7.22
982.37,83.2,3.49,2.9,0.59,1.84,2.96,1286.41,3.61,4.93,187.8,-7.43
981.73,80.1,3.9,3.12,0.78,1.98,3.18,1278.55,3.32,5.89,159.8,-5.99
980.63,73.8,4.54,3.35,1.19,2.13,3.42,1267.55,3.6,5.05,156.1,-4
979.25,71,4.9,3.48,1.42,2.21,3.55,1260.94,3.18,4.21,180.6,-2.99
977.47,72.9,5.22,3.81,1.42,2.43,3.89,1254.5,3.44,5.01,158.2,-2.13
975.88,74.4,5.68,4.23,1.46,2.7,4.33,1246.97,4.06,6.57,173,-0.98
975.27,78.1,6.33,4.95,1.39,3.16,5.07,1239.1,4.52,7.25,187.7,0.5
975.03,79.1,6.59,5.21,1.38,3.33,5.35,1236.18,7.02,10.27,206.2,1.05
975.72,80.1,7.03,5.63,1.4,3.6,5.77,1232.87,5.54,7.29,202.5,1.94
975.48,78.6,8.18,6.43,1.75,4.11,6.59,1222.73,5.74,7.09,206.4,4.07
975.43,82.2,8.37,6.88,1.49,4.4,7.05,1221.01,5.01,6.57,195.7,4.39
974.89,86.8,8.01,6.95,1.06,4.45,7.13,1223.03,2.22,3.48,180.2,3.77
974.5,83.8,8.37,7.01,1.36,4.49,7.19,1219.78,4.71,6.73,195.3,4.39
973.87,90,7.91,7.12,0.79,4.56,7.31,1222.43,3.68,5.49,174.8,3.6
974,90.1,8.28,7.46,0.82,4.78,7.66,1219.57,3.21,4.49,175.3,4.25
975.06,86.7,9.59,8.31,1.27,5.32,8.52,1211.34,4.03,6.09,198.8,6.35
975.69,85.4,10.24,8.75,1.5,5.6,8.97,1207.76,4.28,6.65,196.5,7.31
976.44,83.2,10.69,8.9,1.8,5.69,9.11,1205.91,5.47,8.73,204.8,7.94
977.91,84.5,10.39,8.78,1.61,5.6,8.98,1209.59,3.36,5.37,210.5,7.52
979.65,84.7,9.94,8.42,1.52,5.36,8.59,1214.74,4.78,6.09,221.6,6.87
981.42,87.2,9.55,8.33,1.22,5.3,8.49,1219.49,2.66,4.2,251.3,6.29
983.61,96.4,8.54,8.23,0.31,5.22,8.37,1229.32,1.33,1.68,359.4,4.69
984.34,97.7,8.01,7.83,0.18,4.96,7.95,1234.48,0.58,0.96,263.9,3.78
984.13,98.5,7.86,7.74,0.12,4.91,7.86,1235.48,0.29,0.68,289.4,3.51
983.35,96.9,8.1,7.85,0.25,4.98,7.98,1232.51,1.55,2.12,219,3.94
982.76,91.1,9.35,8.52,0.83,5.41,8.67,1222.42,1.81,2.74,187.7,5.99
983.22,96.5,8.77,8.46,0.31,5.37,8.61,1227.06,2.02,3.84,145.2,5.07
982.39,99.1,8.7,8.63,0.08,5.48,8.78,1226.41,1.74,3.12,184.1,4.96
981.75,97.6,8.39,8.19,0.2,5.21,8.34,1228.13,1.76,3.36,168.6,4.44
982.42,94.4,9.63,9.09,0.54,5.77,9.25,1219.89,2.62,4.16,105.1,6.41
982.67,94.7,9.88,9.36,0.52,5.94,9.52,1218.43,4.25,5.09,223.9,6.78
982.68,95.9,9.25,8.87,0.38,5.64,9.03,1222.8,0.68,1.32,229.6,5.84
982.91,96.6,9.03,8.72,0.31,5.54,8.87,1224.73,0.62,1.24,148,5.48
982.7,97,9.03,8.75,0.27,5.56,8.91,1224.46,1.79,2.92,218.2,5.48
982.08,94.9,9.13,8.67,0.47,5.51,8.82,1222.98,1.08,2,207.7,5.65
982.37,91.7,10.04,9.21,0.83,5.85,9.37,1217.1,5.01,6.05,222.2,7.02
983.09,89.4,10.33,9.24,1.1,5.87,9.4,1216.15,2.59,3.82,190.8,7.44
983.17,91.2,10.21,9.31,0.9,5.91,9.47,1217,3.8,5.05,202.8,7.26
982.7,75.8,12.71,9.64,3.08,6.12,9.81,1202.37,2.53,3.88,165.2,10.5
981.81,73.9,12.6,9.31,3.29,5.92,9.49,1201.98,2.37,3.44,186.6,10.37
981.99,80.7,11.17,9.01,2.16,5.73,9.18,1209.98,3.47,4.28,207.9,8.58
982.03,82.6,10.75,8.88,1.87,5.64,9.04,1212.55,2.66,3.4,212,8.01
981.64,77.5,11.25,8.72,2.53,5.55,8.89,1209.21,6.66,8.17,210.3,8.69
981.85,75.1,11.53,8.66,2.87,5.5,8.82,1207.96,5.52,8.09,210.4,9.05
982.09,77.8,10.91,8.49,2.42,5.39,8.64,1211.86,0.92,1.88,131.2,8.23
982.4,83.7,9.75,8.16,1.59,5.18,8.31,1219.5,1.53,2,211,6.59
982.36,82.4,10.03,8.26,1.76,5.25,8.41,1217.62,2.4,3.2,186.4,7
981.6,84.8,9.9,8.39,1.5,5.33,8.55,1217.45,3.19,4.4,179.9,6.81
980.87,82.2,10.05,8.26,1.79,5.25,8.42,1215.64,2.98,4.51,184,7.03
981.03,80.6,9.64,7.77,1.87,4.94,7.92,1218.71,1.81,2.84,142.4,6.42
981.73,75.6,10.27,7.77,2.51,4.93,7.91,1215.55,1.37,2.64,123.7,7.35
981.86,70.2,11.44,8.03,3.41,5.1,8.18,1208.78,0.76,1.86,172.1,8.93
983.16,86.7,9.35,8.11,1.24,5.15,8.25,1223.1,2.07,3.92,278.7,5.99
984.82,86.2,8.53,7.35,1.18,4.66,7.47,1231.33,0.81,2.68,238.7,4.67
986.1,93.1,8.08,7.52,0.56,4.76,7.62,1236.33,0.69,1.24,50.44,3.89
987.31,91.3,7.84,7.16,0.68,4.52,7.25,1239.92,1,1.6,237.7,3.47
988.31,92.4,7.91,7.31,0.6,4.61,7.4,1240.51,1.05,1.72,235.3,3.6
989.87,85.2,7.58,6.46,1.12,4.07,6.52,1245.59,2.26,3.96,241.5,3
990.93,84.4,7.28,6.15,1.14,3.87,6.2,1249.61,0.94,2.12,254,2.44
992.15,84.7,6.93,5.87,1.06,3.69,5.91,1254.47,1.03,1.72,235.7,1.74
992.92,88.4,6.36,5.63,0.74,3.53,5.67,1260.96,1.1,1.6,235.1,0.56
994.03,93.3,5.83,5.44,0.39,3.41,5.47,1268.04,1.49,1.92,235.5,-0.64
994.89,98,4.97,4.87,0.1,3.05,4.9,1279.48,1.2,1.56,207.8,-2.78
995.38,98.5,4.79,4.72,0.07,2.95,4.74,1282.56,0.97,1.56,197.5,-3.29
996.52,98.5,4.79,4.71,0.07,2.95,4.73,1284.09,1.56,1.98,224.9,-3.3
996.98,98.4,4.84,4.76,0.08,2.97,4.77,1284,1.67,2.68,176.5,-3.16
996.82,98.6,5.04,4.97,0.07,3.1,4.98,1281.13,0.83,1.52,157.4,-2.62
996.01,98.5,5.17,5.09,0.08,3.18,5.11,1278.39,1.47,2.2,150,-2.27
995.45,99.1,5.31,5.26,0.05,3.29,5.29,1275.85,0.53,1,217,-1.9
995.1,99.4,5.05,5.02,0.03,3.14,5.04,1278.73,0.78,1.16,215.5,-2.58
994.9,99,4.82,4.78,0.05,2.99,4.8,1281.47,0.72,1.18,199.2,-3.19
994.24,98.8,4.63,4.58,0.06,2.87,4.61,1283.23,0.92,1.76,165.7,-3.72
993.31,98.2,4.42,4.34,0.08,2.72,4.37,1285.14,1.45,1.82,216,-4.35
992.21,98,4.38,4.29,0.09,2.69,4.32,1284.35,1.73,2.2,236.5,-4.48
990.94,97.9,4.29,4.2,0.09,2.64,4.24,1284.03,1.02,1.72,207.5,-4.75
990.09,98.3,4.56,4.48,0.08,2.82,4.53,1278.93,0.37,0.76,212.9,-3.94
988.79,98.7,4.79,4.72,0.06,2.98,4.78,1274.1,0.25,0.6,28.4,-3.3
987.32,98.9,4.8,4.75,0.05,2.99,4.81,1272.04,0.59,1.08,171.7,-3.26
986.05,99.2,4.96,4.92,0.04,3.11,4.99,1268.18,0.64,1.12,204.7,-2.81
985.07,99.5,5.33,5.31,0.03,3.36,5.39,1262.21,0.29,0.64,65.79,-1.84
984.01,99.7,5.59,5.58,0.02,3.53,5.67,1257.76,0.78,1.2,192.4,-1.2
982.25,99.9,6.95,6.95,0.01,4.41,7.07,1241.18,2.33,3.44,173.4,1.79
981.24,84.1,7.74,6.51,1.23,4.14,6.63,1233.38,3.43,5.73,184.3,3.29
981.28,86.2,7.36,6.34,1.02,4.03,6.47,1236.66,3.74,5.25,173.7,2.59
981.62,88.3,6.92,6.11,0.81,3.88,6.23,1241.07,2.64,3.24,196.2,1.73
982.57,88.1,6.78,5.97,0.81,3.79,6.08,1243.64,0.48,1.08,271.3,1.44
982.79,88.9,6.77,6.02,0.75,3.82,6.12,1244,3.81,5.01,190.8,1.42
983.31,88.2,7.26,6.41,0.86,4.06,6.52,1240.03,2.44,4.33,190.6,2.4
983.87,83,7.73,6.41,1.31,4.06,6.52,1236.85,1.34,2.28,43.17,3.27
984.15,83.9,7.96,6.68,1.28,4.23,6.79,1235.18,4.15,6.41,209.8,3.69
985.32,84.1,8.18,6.88,1.3,4.35,6.98,1234.87,0.93,2.16,65.8,4.07
986.5,82.6,8.34,6.89,1.45,4.36,6.99,1235.07,3.35,6.25,237.6,4.36
987.69,82.6,8.09,6.69,1.41,4.22,6.77,1238.58,2.61,4.71,249.3,3.92
989.48,80.7,7.91,6.38,1.53,4.02,6.45,1242.47,1.78,3.94,268.8,3.59
990.29,80.2,7.93,6.36,1.57,4.01,6.42,1243.28,2.33,3.68,220.3,3.64
990.57,76.5,8.15,6.23,1.92,3.92,6.29,1241.99,1.41,4.4,225.1,4.02
989.61,71.1,8.32,5.92,2.4,3.73,5.98,1239.6,2.71,3.76,217.5,4.32
989.3,69.46,8.08,5.61,2.47,3.54,5.67,1241.21,2.72,3.6,198.9,3.9
988.81,88.9,7.07,6.28,0.78,3.96,6.35,1248.78,2.91,4.16,196.5,2.02
986.59,94.6,6.92,6.55,0.37,4.14,6.64,1247.17,3.36,4.89,174.5,1.73
985.68,85.5,7.88,6.74,1.14,4.26,6.83,1237.73,2.36,4.36,200.3,3.55
984.7,86.8,8.09,7.02,1.07,4.45,7.13,1234.71,3.95,5.37,187.8,3.91
984.03,88.6,8.18,7.25,0.93,4.6,7.37,1233.01,2.1,3.04,168.2,4.08
982.95,91,8.31,7.56,0.75,4.8,7.69,1230.53,4.57,7.49,211.6,4.3
982.83,93,8.5,7.91,0.6,5.02,8.05,1228.78,1.87,3.12,233.8,4.63
983.26,93.8,8.85,8.3,0.55,5.27,8.44,1226.63,0.75,1.88,243.2,5.19
